mid_date,lat,lon,v [m/yr],v_error [m/yr],vx [m/yr],vx_error [m/yr],vy [m/yr],vy_error [m/yr],date_dt [days],mission,satellite,epsg
2019-05-10 00:56:53.579022080,79.47,25.02,1868.0,25.0,1509.0,23.5,1101.0,27.9,64,S,2B,3413
2019-01-09 00:27:48.079022080,79.47,25.02,2072.0,5.0,1708.0,4.7,1173.0,4.6,375,S,2B,3413
2017-07-22 13:07:10.079022080,79.47,25.02,2365.0,36.0,1957.0,35.4,1328.0,36.5,70,S,2A,3413
2020-07-10 00:38:36.079023872,79.47,25.02,1782.0,38.0,1490.0,36.3,979.0,42.2,45,S,2B,3413
2021-10-18 00:38:31.579023872,79.47,25.02,1528.0,5.0,1248.0,5.0,881.0,3.5,335,S,2B,3413
2021-06-05 00:38:38.579022080,79.47,25.02,1492.0,44.0,1144.0,39.8,957.0,48.9,45,S,2B,3413
2017-05-07 11:57:29.579023872,79.47,25.02,2193.0,37.0,1746.0,38.4,1327.0,33.3,19,S,2A,3413
2019-08-07 01:18:34.079022336,79.47,25.02,2501.0,176.0,2025.0,174.5,1469.0,179.4,4,S,2B,3413
2018-06-14 00:47:01.079024128,79.47,25.02,2045.0,109.0,1675.0,109.5,1174.0,109.5,85,S,2B,3413
2020-07-23 12:08:45.579022336,79.47,25.02,2194.0,124.0,1813.0,120.8,1235.0,131.4,10,S,2B,3413
2021-06-14 01:08:30.579022080,79.47,25.02,1470.0,59.0,1180.0,65.3,877.0,44.1,85,S,2B,3413
2018-06-14 12:06:43.079024128,79.47,25.02,2032.0,29.0,1659.0,30.1,1173.0,27.1,89,S,2B,3413
2017-05-25 12:07:27.079023872,79.47,25.02,2172.0,89.0,1759.0,95.1,1274.0,75.2,10,S,2A,3413
2020-02-13 12:38:37.579024128,79.47,25.02,1729.0,2.0,1419.0,2.5,988.0,2.3,389,S,2B,3413
2020-01-04 12:38:33.079024128,79.47,25.02,1665.0,8.0,1359.0,8.3,962.0,7.8,240,S,2A,3413
2022-04-06 11:58:41.579022080,79.47,25.02,1236.0,45.0,997.0,47.3,730.0,39.4,19,S,2B,3413
2017-07-05 01:07:10.079024128,79.47,25.02,2187.0,56.0,1823.0,54.9,1209.0,57.2,35,S,2A,3413
2018-07-08 12:36:58.079024128,79.47,25.02,1999.0,143.0,1659.0,139.2,1115.0,151.9,10,S,2A,3413
2018-06-12 00:57:43.079022080,79.47,25.02,2034.0,28.0,1665.0,28.5,1168.0,26.6,94,S,2B,3413
2017-08-02 00:26:52.579023872,79.47,25.02,2467.0,38.0,2015.0,36.4,1423.0,39.7,45,S,2B,3413
2021-02-02 00:28:37.579023872,79.47,25.02,1563.0,7.0,1278.0,7.4,899.0,6.8,324,S,2B,3413
2019-07-06 12:48:39.079021824,79.47,25.02,2041.0,48.0,1701.0,50.7,1128.0,42.9,50,S,2A,3413
2018-03-31 00:47:30.079024128,79.47,25.02,2002.0,82.0,1597.0,83.5,1208.0,80.7,14,S,2B,3413
2021-10-28 11:58:43.579022080,79.47,25.02,1543.0,6.0,1264.0,6.7,884.0,5.2,299,S,2B,3413
2019-06-20 12:28:48.079022080,79.47,25.02,1840.0,110.0,1474.0,109.7,1100.0,109.5,20,S,2B,3413
2017-12-15 00:26:49.579022080,79.47,25.02,2163.0,7.0,1778.0,6.5,1231.0,6.4,344,S,2A,3413
2017-10-24 12:47:05.579022080,79.47,25.02,2186.0,4.0,1792.0,4.3,1253.0,4.1,390,S,2A,3413
2021-10-23 11:58:37.579023616,79.47,25.02,1537.0,5.0,1256.0,5.0,885.0,4.7,309,S,2B,3413
2020-09-30 12:38:35.079022080,79.47,25.02,1630.0,5.0,1336.0,4.9,935.0,4.5,330,S,2B,3413
2017-05-07 12:47:01.579022080,79.47,25.02,2190.0,33.0,1759.0,33.1,1306.0,34.1,50,S,2A,3413
2021-06-25 00:38:39.079022080,79.47,25.02,1616.0,109.0,1300.0,109.5,960.0,109.5,85,S,2B,3413
2019-01-09 01:17:55.079022336,79.47,25.02,2049.0,8.0,1677.0,8.7,1177.0,7.5,275,S,2A,3413
2021-05-09 12:58:24.579023872,79.47,25.02,1485.0,36.0,1174.0,38.8,910.0,30.6,50,S,2A,3413
2018-11-25 23:57:46.079024384,79.47,25.02,2049.0,5.0,1684.0,5.4,1168.0,5.1,415,S,2A,3413
2021-05-23 23:58:45.079022080,79.47,25.02,1239.0,268.0,732.0,286.5,1001.0,257.7,5,S,2B,3413
2018-05-27 00:36:56.079024128,79.47,25.02,1956.0,40.0,1570.0,37.9,1166.0,44.5,95,S,2B,3413
2022-04-07 00:08:42.579022080,79.47,25.02,1316.0,109.0,1178.0,111.0,587.0,103.1,4,S,2A,3413
2018-04-30 00:47:01.579023872,79.47,25.02,2026.0,208.0,1636.0,218.8,1195.0,186.4,4,S,2A,3413
2021-01-19 00:48:31.579023872,79.47,25.02,1553.0,8.0,1264.0,8.1,903.0,7.4,264,S,2B,3413
2019-07-01 12:48:43.579022080,79.47,25.02,2065.0,32.0,1705.0,32.9,1165.0,30.3,69,S,2B,3413
2020-10-12 13:18:25.579022080,79.47,25.02,1622.0,4.0,1330.0,3.8,928.0,3.1,409,S,2B,3413
2021-11-20 00:48:32.079024128,79.47,25.02,1547.0,12.0,1271.0,11.4,882.0,12.3,255,S,2B,3413
2020-12-05 00:48:32.079024128,79.47,25.02,1590.0,10.0,1297.0,10.1,920.0,10.1,204,S,2A,3413
2017-01-07 11:56:44.079024128,79.47,25.02,2399.0,36.0,1957.0,35.8,1387.0,35.8,260,S,2A,3413
2020-11-02 11:58:47.579022080,79.47,25.02,1675.0,16.0,1382.0,15.9,946.0,15.3,269,S,2A,3413
2019-05-29 00:29:50.079024128,79.47,25.02,1893.0,36.0,1506.0,32.0,1146.0,41.4,94,S,2B,3413
2019-06-26 12:48:33.579023872,79.47,25.02,1912.0,133.0,1433.0,114.1,1265.0,154.4,30,S,2A,3413
2017-12-13 11:56:44.579023616,79.47,25.02,2186.0,33.0,1787.0,33.2,1259.0,33.2,280,S,2A,3413
2017-12-03 11:56:41.579023872,79.47,25.02,2200.0,11.0,1806.0,10.9,1258.0,10.6,289,S,2B,3413
2018-03-30 23:57:10.079022080,79.47,25.02,2014.0,48.0,1647.0,48.0,1159.0,48.5,14,S,2A,3413
2019-07-01 11:58:47.079024128,79.47,25.02,1999.0,31.0,1614.0,28.1,1180.0,36.2,40,S,2B,3413
2016-11-17 13:17:14.079022080,79.47,25.02,2509.0,8.0,2058.0,8.3,1436.0,7.9,289,S,2A,3413
2019-07-20 15:04:20.012182784,79.47,25.02,2294.0,47.0,1858.0,54.8,1345.0,27.3,6,S,1B,3413
2018-12-23 12:47:50.079022080,79.47,25.02,2083.0,10.0,1715.0,10.3,1183.0,9.9,340,S,2A,3413
2016-10-14 12:47:01.079024128,79.47,25.02,2481.0,5.0,2025.0,5.1,1433.0,5.4,359,S,2A,3413
2020-07-31 00:08:41.579023872,79.47,25.02,2366.0,114.0,1865.0,117.9,1456.0,108.5,5,S,2B,3413
2018-05-24 12:36:57.579022080,79.47,25.02,1965.0,39.0,1579.0,40.2,1171.0,35.3,100,S,2A,3413
2020-01-09 01:18:35.079022080,79.47,25.02,1700.0,4.0,1392.0,4.4,976.0,4.4,334,S,2B,3413
2019-10-15 00:58:28.079024128,79.47,25.02,1810.0,6.0,1482.0,6.2,1038.0,5.4,324,S,2A,3413
2016-11-03 12:47:53.079022080,79.47,25.02,2509.0,7.0,2044.0,7.1,1456.0,6.3,300,S,2A,3413
2018-07-03 01:17:13.079024128,79.47,25.02,2045.0,169.0,1647.0,169.2,1213.0,169.2,54,S,2A,3413
2021-04-13 12:38:37.079022080,79.47,25.02,1512.0,26.0,1216.0,27.2,898.0,24.7,60,S,2B,3413
2020-12-09 01:18:21.579024128,79.47,25.02,1625.0,5.0,1341.0,4.7,917.0,4.5,525,S,2B,3413
2018-04-17 00:36:56.579022080,79.47,25.02,2015.0,66.0,1628.0,69.7,1188.0,58.5,15,S,2B,3413
2021-06-13 00:48:35.579022080,79.47,25.02,1615.0,23.0,1317.0,23.3,936.0,21.8,135,S,2B,3413
2021-06-10 12:48:33.579022336,79.47,25.02,1616.0,17.0,1324.0,17.2,926.0,16.2,169,S,2B,3413
2020-08-16 00:28:39.079023872,79.47,25.02,2003.0,75.0,1624.0,75.3,1173.0,75.2,14,S,2A,3413
